Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp40d,N2,67.00961111,-50.98711111,37,S,45,0,0,steppe,7,1,0-5,1.44,1.62,16200.48445
wp41d,N2,67.00944444,-50.98772222,37,S,0,0,0,shrubs,6.4,3,0-5,0.62,5.06,50638.69583
wp42d,N2,67.00861111,-50.98991667,37,S,45,-,+,steppe,6.9,1,0-5,1.19,1.90,18981.72619
wp43d,N2,67.00822222,-50.99044444,37,E,3,0,0,shrubs,6.4,6.5,0-5,0.71,3.49,34941.21642
wp44d,N2,67.00775,-50.99119444,37,E,5,-,0,shrubs,6.4,7.5,0-5,0.41,8.55,85512.63753
wp45d,N2,67.00708333,-50.99194444,37,NE,30,-,0,mixed,6.8,4.5,0-5,0.62,3.44,34414.51115
wp1e,85,66.98477778,-51.05363889,42,S,0,0,0,bare,6.8,1,0-5,0.94,3.49,34867.58413
wp2e,85,66.98463889,-51.05316667,42,S,30,-,+,steppe,6.9,1.5,0-5,1.17,2.12,21221.68053
wp3e,85,66.98438889,-51.05241667,42,SW,5,-,0,shrub,6.8,4.5,0-5,1.05,1.80,17983.66237
wp4e,85,66.98394444,-51.05133333,42,W,3,+,-,mixed,6.4,7,0-5,0.70,5.06,50599.33795
wp5e,85,66.98377778,-51.051,42,NW,5,-,+,shrub,6.8,4.5,0-5,0.63,4.86,48565.45129
wp6e,85,66.98291667,-51.05055556,42,SW,0,0,0,shrub,6.4,7,0-5,0.80,5.71,57089.56397
wp7e,85,66.98219444,-51.05036111,42,W,10,-,+,mixed,6.7,6.5,0-5,0.78,3.96,39584.91226
wp8e,85,66.98163889,-51.04975,42,W,0,0,0,mixed,6.4,8,0-5,0.54,9.44,94386.9307
wp9e,85,66.98088889,-51.05016667,42,N,7,0,0,mixed,6.4,6.5,0-5,0.55,5.93,59273.02149
wp10e,85,66.9805,-51.05041667,42,S,10,-,0,shrub,6.6,3.5,0-5,0.67,4.71,47121.53518
wp11e,85,66.98025,-51.04963889,42,N,0,0,0,mixed,6.9,5.5,0-5,0.43,5.60,55978.79442
wp12e,85,66.97988889,-51.04938889,42,NE,45,-,0,mixed,6.4,6.5,0-5,0.44,8.76,87613.56996
wp13e,85,66.97938889,-51.05072222,42,N,45,-,0,mixed,6.5,3,0-5,0.27,8.60,86001.05273
wp14e,85,66.97902778,-51.05019444,42,N,3,-,+,mixed,7,2.5,0-5,0.36,8.58,85792.25842
wp15e,85,66.97886111,-51.05122222,42,N,0,0,0,bare,6.9,1,0-5,1.10,2.24,22365.72689
wp16e,85,66.97894444,-51.05236111,42,N,20,+,-,mixed,6.8,3,0-5,0.42,7.64,76368.02281
wp17e,85,66.97877778,-51.05441667,42,S,20,-,+,mixed,7,4.5,0-5,0.23,8.47,84675.40869
wp18e,85,66.97855556,-51.056,42,NE,15,0,-,mixed,6.4,8,0-5,0.43,6.40,64025.48587
wp19e,85,66.97833333,-51.05711111,42,NW,30,0,0,mixed,6.6,5.5,0-5,0.29,5.53,55317.83795
wp20e,85,66.97855556,-51.05941667,42,NW,3,0,+,mixed,6.4,5,0-5,0.77,5.19,51943.73685
wp21e,85,66.97930556,-51.06163889,42,N,15,0,0,mixed,,,0-5,0.30,7.74,77397.14036
wp22e,85,66.98122222,-51.05816667,42,N,3,-,0,shrub,7,2,0-5,0.79,3.79,37940.88541
wp23e,85,66.97969444,-51.05722222,42,NW,0,0,0,mixed,7,6.5,0-5,1.32,0.97,9678.206803
